EST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover	 Events	 WindDirDegrees	#
1/1/13	34	30	26	32	28	17	100	82	63	30.16	30.08	30.04	10	4	1	16	6	18	0.01	8	Snow	322	#
1/2/13	31	23	15	19	15	12	92	70	47	30.27	30.21	30.16	10	8	4	8	4	16	0	7	Fog	315	#
1/3/13	35	24	12	23	17	11	88	67	46	30.34	30.27	30.21	10	10	7	18	6	23	0	3		249	#
1/4/13	36	32	28	23	22	20	75	66	56	30.36	30.34	30.31	10	10	8	26	10	30	0	4		246	#
1/5/13	40	31	21	28	24	19	92	73	54	30.38	30.3	30.18	10	10	6	13	6	16	0	4		207	#
1/6/13	39	34	28	31	27	20	82	76	69	30.36	30.15	30.05	10	9	6	25	11	30	T	8		246	#
1/7/13	40	30	19	26	23	17	92	73	54	30.49	30.38	30.27	10	7	2	13	4	16	0	1	Fog	183	#
1/8/13	51	37	22	32	27	21	88	68	48	30.34	30.27	30.23	10	9	7	16	6	22	0	4		188	#
1/9/13	55	44	32	46	37	31	93	74	54	30.51	30.35	30.22	10	9	6	16	7	24	0.08	7	Rain	247	#
1/10/13	47	40	32	41	35	30	89	80	70	30.52	30.36	30.11	10	8	2	14	7	17	0.12	8	Rain	94	#
1/11/13	62	54	46	55	50	42	100	82	64	30.08	29.95	29.88	10	9	2	22	11	30	0.61	7	Rain	190	#
1/12/13	65	59	52	62	58	50	100	89	78	30.02	29.94	29.8	10	9	5	22	9	29	0.04	7	Rain	181	#
1/13/13	66	50	34	60	52	32	100	92	84	30.15	29.88	29.74	10	7	1	28	13	40	1.11	8	Rain	218	#
1/14/13	34	29	24	29	21	19	96	83	69	30.43	30.34	30.17	10	10	6	18	9	20	0	7		341	#
1/15/13	32	28	24	25	21	19	81	74	66	30.38	30.27	30.1	10	8	2	17	10	22	0.01	7	Snow	38	#
1/16/13	36	33	30	28	27	25	92	81	70	30.11	30.04	30	8	7	4	12	6	15	T	8		258	#
1/17/13	44	36	28	29	26	20	92	72	51	30.4	30.2	30.12	10	9	7	20	7	25	0	5		332	#
1/18/13	40	29	17	23	18	14	92	66	40	30.55	30.43	30.25	10	10	10	18	9	25	0	0		191	#
1/19/13	54	45	36	27	25	23	59	46	32	30.25	30.08	29.94	10	10	10	25	15	36	0	0		207	#
1/20/13	47	37	26	34	16	7	65	49	32	30.24	30.14	29.94	10	10	10	32	12	39	0	4		292	#
1/21/13	27	20	13	16	10	-2	68	55	41	30.27	30.15	30.1	10	9	1	26	15	35	T	7	Snow	280	#
1/22/13	19	13	7	0	-2	-5	63	49	34	30.42	30.34	30.27	10	10	5	18	10	23	T	4	Snow	282	#
1/23/13	24	17	10	10	4	0	67	57	47	30.37	30.27	30.1	10	10	9	13	4	15	T	7	Snow	213	#
1/24/13	25	20	15	12	3	-3	67	51	34	30.6	30.45	30.13	10	10	10	25	11	31	0	6		31	#
1/25/13	26	23	20	20	15	5	92	70	47	30.41	30.16	30.05	10	7	1	15	8	18	0.03	7	Snow	169	#
1/26/13	33	26	18	20	17	15	92	70	47	30.45	30.31	30.16	10	8	5	12	6	15	0	1		311	#
1/27/13	39	29	19	37	22	16	92	73	54	30.45	30.36	30.18	10	7	5	14	8	17	0.21	6	Rain	122	#
1/28/13	54	46	38	52	46	38	100	86	71	30.15	30.09	30.05	10	5	2	20	12	28	0.32	8	Rain	202	#
1/29/13	64	59	53	57	53	50	93	83	72	30.05	29.91	29.59	10	9	7	29	15	37	0	6		195	#
1/30/13	67	50	32	57	47	23	100	87	73	29.58	29.43	29.29	10	9	1	36	18	44	0.78	8	Rain	231	#
1/31/13	32	25	17	23	18	10	84	67	50	30.06	29.89	29.64	10	7	0	36	19	44	0.07	8	Fog-Snow	265	#
